Transaction Date,Card Number,Terminal ID,Transaction Net Amount
01/01 21:54,'1234567887654321','TM000002',0.00
01/01 21:54,'1234567887654321','TM000002',60.00
01/01 22:13,'1234567887654321','TM000002',60.00
01/01 22:13,'1234567887654321','TM000002',60.00
01/01 23:10,'1234567887654321','TM000002',140.00
01/01 23:11,'1234567887654321','TM000002',100.00
01/01 23:11,'1234567887654321','TM000002',80.00
01/01 23:12,'1234567887654321','TM000002',60.00
01/01 23:12,'1234567887654321','TM000002',40.00
01/01 23:22,'1234567887654321','TM000002',163.50
01/01 23:51,'1234567887654321','TM000002',40.00
01/01 00:05,'1234567887654321','TM000002',283.50
01/01 01:00,'1234567887654321','TM000002',780.00
01/01 01:01,'1234567887654321','TM000002',780.00
01/01 01:04,'1234567887654321','TM000002',460.00
01/01 01:08,'1234567887654321','TM000002',500.00
01/01 02:31,'1234567887654321','TM000002',80.00
01/01 04:24,'1234567887654321','TM000002',60.00
01/01 06:10,'1234567887654321','TM000002',140.00
01/01 06:38,'1234567887654321','TM000002',200.00
01/01 07:00,'1234567887654321','TM000002',500.00
01/01 07:12,'1234567887654321','TM000002',60.00
01/01 07:29,'1234567887654321','TM000002',200.00
01/01 09:06,'1234567887654321','TM000002',60.00
01/01 09:11,'1234567887654321','TM000002',200.00
01/01 09:13,'1234567887654321','TM000002',80.00
01/01 09:17,'1234567887654321','TM000002',100.00
01/01 09:32,'1234567887654321','TM000002',500.00
01/01 09:44,'1234567887654321','TM000002',300.00
01/01 09:54,'1234567887654321','TM000002',60.00
01/01 10:08,'1234567887654321','TM000002',280.00
01/01 10:09,'1234567887654321','TM000002',800.00
01/01 10:10,'1234567887654321','TM000002',420.00
01/01 10:12,'1234567887654321','TM000002',40.00
01/01 10:18,'1234567887654321','TM000002',40.00
01/01 10:47,'1234567887654321','TM000002',400.00
01/01 10:59,'1234567887654321','TM000002',100.00
01/01 11:03,'1234567887654321','TM000002',60.00
01/01 11:03,'1234567887654321','TM000002',20.00
01/01 11:25,'1234567887654321','TM000002',500.00
01/01 11:42,'1234567887654321','TM000002',800.00
01/01 11:43,'1234567887654321','TM000002',200.00
01/01 11:45,'1234567887654321','TM000002',0.00
01/01 11:59,'1234567887654321','TM000002',300.00
01/01 12:12,'1234567887654321','TM000002',60.00
01/01 12:17,'1234567887654321','TM000002',80.00
01/01 12:55,'1234567887654321','TM000002',43.50
01/01 12:58,'1234567887654321','TM000002',200.00
01/01 13:00,'1234567887654321','TM000002',100.00
01/01 13:18,'1234567887654321','TM000002',500.00
01/01 13:26,'1234567887654321','TM000002',120.00
01/01 13:36,'1234567887654321','TM000002',0.00
01/01 13:40,'1234567887654321','TM000002',700.00
01/01 13:41,'1234567887654321','TM000002',700.00
01/01 13:42,'1234567887654321','TM000002',700.00
01/01 13:43,'1234567887654321','TM000002',60.00
01/01 13:44,'1234567887654321','TM000002',700.00
01/01 13:46,'1234567887654321','TM000002',60.00
01/01 13:48,'1234567887654321','TM000002',40.00
01/01 14:19,'1234567887654321','TM000002',300.00
01/01 14:23,'1234567887654321','TM000002',300.00
01/01 14:41,'1234567887654321','TM000002',40.00
01/01 14:42,'1234567887654321','TM000002',200.00
01/01 14:44,'1234567887654321','TM000002',60.00
01/01 14:45,'1234567887654321','TM000002',60.00
01/01 14:51,'1234567887654321','TM000002',100.00
01/01 14:53,'1234567887654321','TM000002',400.00
01/01 14:53,'1234567887654321','TM000002',200.00
01/01 14:54,'1234567887654321','TM000002',0.00
01/01 15:14,'1234567887654321','TM000002',700.00
01/01 15:15,'1234567887654321','TM000002',700.00
01/01 15:28,'1234567887654321','TM000002',300.00
01/01 15:31,'1234567887654321','TM000002',0.00
01/01 15:31,'1234567887654321','TM000002',60.00
01/01 15:49,'1234567887654321','TM000002',800.00
01/01 15:51,'1234567887654321','TM000002',800.00
01/01 15:52,'1234567887654321','TM000002',700.00
01/01 15:52,'1234567887654321','TM000002',500.00
01/01 15:52,'1234567887654321','TM000002',500.00
01/01 15:52,'1234567887654321','TM000002',400.00
01/01 15:59,'1234567887654321','TM000002',200.00
01/01 16:03,'1234567887654321','TM000003',200.00
01/01 16:05,'1234567887654321','TM000003',60.00
01/01 16:09,'1234567887654321','TM000003',500.00
01/01 16:13,'1234567887654321','TM000003',80.00
01/01 16:22,'1234567887654321','TM000003',40.00
01/01 16:23,'1234567887654321','TM000003',100.00
01/01 16:32,'1234567887654321','TM000003',20.00
01/01 16:34,'1234567887654321','TM000003',20.00
01/01 16:41,'1234567887654321','TM000003',100.00
01/01 16:53,'1234567887654321','TM000003',300.00
01/01 16:58,'1234567887654321','TM000003',60.00
01/01 17:51,'1234567887654321','TM000003',0.00
01/01 17:52,'1234567887654321','TM000003',200.00
01/01 18:10,'1234567887654321','TM000003',20.00
01/01 18:18,'1234567887654321','TM000003',0.00
01/01 18:19,'1234567887654321','TM000003',40.00
01/01 19:01,'1234567887654321','TM000003',20.00
01/01 19:07,'1234567887654321','TM000003',0.00
01/01 19:08,'1234567887654321','TM000003',0.00
01/01 19:34,'1234567887654321','TM000003',400.00
01/01 20:49,'1234567887654321','TM000003',160.00
01/01 21:13,'1234567887654321','TM000003',500.00
01/01 21:26,'1234567887654321','TM000003',500.00
01/01 12:25,'1234567887654321','TM000003',0.00
01/01 12:26,'1234567887654321','TM000003',100.00
01/01 12:27,'1234567887654321','TM000003',200.00
01/01 12:29,'1234567887654321','TM000003',100.00
01/01 12:49,'1234567887654321','TM000003',740.00
01/01 12:50,'1234567887654321','TM000003',0.00
01/01 12:51,'1234567887654321','TM000003',0.00
01/01 12:56,'1234567887654321','TM000003',300.00
01/01 12:57,'1234567887654321','TM000003',300.00
01/01 12:59,'1234567887654321','TM000003',60.00
01/01 13:00,'1234567887654321','TM000003',260.00
01/01 13:11,'1234567887654321','TM000003',200.00
01/01 13:13,'1234567887654321','TM000003',160.00
01/01 13:16,'1234567887654321','TM000003',0.00
01/01 13:18,'1234567887654321','TM000003',0.00
01/01 13:18,'1234567887654321','TM000003',150.00
01/01 13:19,'1234567887654321','TM000003',80.00
01/01 13:24,'1234567887654321','TM000003',0.00
01/01 13:53,'1234567887654321','TM000003',60.00
01/01 14:01,'1234567887654321','TM000003',200.00
01/01 14:02,'1234567887654321','TM000003',80.00
01/01 14:09,'1234567887654321','TM000003',300.00
01/01 14:11,'1234567887654321','TM000003',360.00
01/01 14:13,'1234567887654321','TM000003',0.00
01/01 14:14,'1234567887654321','TM000003',200.00
01/01 14:18,'1234567887654321','TM000003',340.00
01/01 14:20,'1234567887654321','TM000003',40.00
01/01 14:21,'1234567887654321','TM000003',300.00
01/01 14:32,'1234567887654321','TM000003',100.00
01/01 14:35,'1234567887654321','TM000003',100.00
01/01 15:06,'1234567887654321','TM000003',0.00
01/01 15:09,'1234567887654321','TM000003',300.00
01/01 16:21,'1234567887654321','TM000004',400.00
01/01 16:33,'1234567887654321','TM000004',200.00
01/01 16:45,'1234567887654321','TM000004',203.50
01/01 17:05,'1234567887654321','TM000004',60.00
01/01 17:06,'1234567887654321','TM000004',403.50
01/01 17:06,'1234567887654321','TM000004',403.50
01/01 17:08,'1234567887654321','TM000004',303.50
01/01 17:08,'1234567887654321','TM000004',303.50
01/01 17:32,'1234567887654321','TM000004',600.00
01/01 17:32,'1234567887654321','TM000004',600.00
01/01 17:34,'1234567887654321','TM000004',300.00
01/01 17:34,'1234567887654321','TM000004',300.00
01/01 17:35,'1234567887654321','TM000004',0.00
01/01 17:37,'1234567887654321','TM000004',20.00
01/01 17:37,'1234567887654321','TM000004',20.00-
01/01 17:37,'1234567887654321','TM000004',20.00
01/01 17:37,'1234567887654321','TM000004',20.00-
01/01 18:18,'1234567887654321','TM000004',300.00
01/01 18:18,'1234567887654321','TM000004',300.00
01/01 18:18,'1234567887654321','TM000004',200.00
01/01 18:18,'1234567887654321','TM000004',200.00
01/01 18:21,'1234567887654321','TM000004',123.50
01/01 18:21,'1234567887654321','TM000004',123.50
01/01 18:38,'1234567887654321','TM000004',20.00
01/01 18:38,'1234567887654321','TM000004',20.00-
01/01 18:39,'1234567887654321','TM000004',20.00-
01/01 18:39,'1234567887654321','TM000004',20.00
01/01 19:48,'1234567887654321','TM000004',40.00
01/01 19:48,'1234567887654321','TM000004',40.00-
01/01 20:38,'1234567887654321','TM000004',20.00-
01/01 20:38,'1234567887654321','TM000004',20.00
01/01 20:39,'1234567887654321','TM000004',20.00
01/01 20:39,'1234567887654321','TM000004',20.00-
01/01 21:04,'1234567887654321','TM000004',20.00
01/01 21:04,'1234567887654321','TM000004',20.00-
01/01 21:05,'1234567887654321','TM000004',20.00
01/01 21:06,'1234567887654321','TM000004',20.00-
01/01 21:06,'1234567887654321','TM000004',20.00
01/01 21:16,'1234567887654321','TM000004',500.00
01/01 21:16,'1234567887654321','TM000004',500.00
01/01 21:19,'1234567887654321','TM000004',500.00
01/01 21:19,'1234567887654321','TM000004',500.00
01/01 21:20,'1234567887654321','TM000004',500.00
01/01 21:20,'1234567887654321','TM000004',500.00
01/01 21:21,'1234567887654321','TM000004',100.00
01/01 21:21,'1234567887654321','TM000004',100.00
01/01 16:06,'1234567887654321','TM000005',0.00
01/01 16:08,'1234567887654321','TM000005',200.00
01/01 16:18,'1234567887654321','TM000005',600.00
01/01 16:28,'1234567887654321','TM000005',0.00
01/01 16:31,'1234567887654321','TM000005',603.50
01/01 16:32,'1234567887654321','TM000005',203.50
01/01 16:37,'1234567887654321','TM000005',40.00
01/01 16:43,'1234567887654321','TM000005',0.00
01/01 16:44,'1234567887654321','TM000005',140.00
01/01 16:47,'1234567887654321','TM000005',200.00
01/01 16:50,'1234567887654321','TM000005',0.00
01/01 16:51,'1234567887654321','TM000005',20.00
01/01 16:53,'1234567887654321','TM000005',500.00
01/01 16:54,'1234567887654321','TM000005',60.00
01/01 17:00,'1234567887654321','TM000005',60.00
01/01 17:04,'1234567887654321','TM000005',180.00
01/01 17:13,'1234567887654321','TM000005',20.00
01/01 17:20,'1234567887654321','TM000005',60.00
01/01 17:24,'1234567887654321','TM000005',40.00
01/01 17:35,'1234567887654321','TM000005',60.00
01/01 17:36,'1234567887654321','TM000005',100.00
01/01 17:49,'1234567887654321','TM000005',500.00
01/01 17:51,'1234567887654321','TM000005',0.00
01/01 17:52,'1234567887654321','TM000005',0.00
01/01 17:55,'1234567887654321','TM000005',0.00
01/01 17:56,'1234567887654321','TM000005',100.00
01/01 18:07,'1234567887654321','TM000005',20.00
01/01 18:19,'1234567887654321','TM000005',60.00
01/01 18:34,'1234567887654321','TM000005',100.00
01/01 19:26,'1234567887654321','TM000005',120.00
01/01 19:28,'1234567887654321','TM000005',60.00
01/01 19:40,'1234567887654321','TM000005',100.00
01/01 19:48,'1234567887654321','TM000005',40.00
01/01 19:56,'1234567887654321','TM000005',20.00
01/01 19:57,'1234567887654321','TM000005',40.00
01/01 20:00,'1234567887654321','TM000005',40.00
01/01 20:07,'1234567887654321','TM000005',100.00
01/01 20:08,'1234567887654321','TM000005',300.00
01/01 20:14,'1234567887654321','TM000005',200.00
01/01 20:27,'1234567887654321','TM000005',400.00
01/01 20:29,'1234567887654321','TM000005',0.00
01/01 21:13,'1234567887654321','TM000005',100.00
01/01 21:16,'1234567887654321','TM000005',0.00
01/01 21:17,'1234567887654321','TM000005',100.00
01/01 21:18,'1234567887654321','TM000005',20.00
01/01 22:03,'1234567887654321','TM000005',60.00
01/01 13:12,'1234567887654321','TM000005',20.00
01/01 13:13,'1234567887654321','TM000005',300.00
01/01 13:16,'1234567887654321','TM000005',200.00
01/01 13:43,'1234567887654321','TM000005',400.00
01/01 13:51,'1234567887654321','TM000005',0.00
01/01 14:06,'1234567887654321','TM000005',360.00
01/01 14:38,'1234567887654321','TM000005',60.00
01/01 14:40,'1234567887654321','TM000005',40.00
01/01 14:44,'1234567887654321','TM000005',160.00
01/01 14:54,'1234567887654321','TM000005',20.00
01/01 15:05,'1234567887654321','TM000005',200.00
01/01 15:09,'1234567887654321','TM000005',100.00
01/01 15:12,'1234567887654321','TM000005',20.00
01/01 15:16,'1234567887654321','TM000005',200.00
01/01 15:19,'1234567887654321','TM000005',0.00
01/01 15:20,'1234567887654321','TM000005',800.00
01/01 15:27,'1234567887654321','TM000005',40.00
01/01 15:29,'1234567887654321','TM000005',400.00
01/01 15:45,'1234567887654321','TM000005',300.00
01/01 15:47,'1234567887654321','TM000005',80.00
01/01 15:59,'1234567887654321','TM000005',40.00
01/01 19:45,'1234567887654321','TM000006',0.00
01/01 19:45,'1234567887654321','TM000006',0.00
01/01 19:46,'1234567887654321','TM000006',500.00
01/01 19:48,'1234567887654321','TM000006',500.00
01/01 19:49,'1234567887654321','TM000006',500.00
01/01 04:07,'1234567887654321','TM000006',520.00
01/01 07:42,'1234567887654321','TM000006',80.00
01/01 08:23,'1234567887654321','TM000006',600.00
01/01 08:43,'1234567887654321','TM000006',0.00
01/01 09:28,'1234567887654321','TM000006',100.00
01/01 13:51,'1234567887654321','TM000006',120.00
01/01 13:54,'1234567887654321','TM000006',120.00
01/01 15:30,'1234567887654321','TM000006',60.00
